"";"kode_enhet";"area";"percent"
"1";"L";211902,055;27,7826
"2";"T01-C1";1420,378;0,1862
"3";"T01-C2";467,272;0,0613
"4";"T03-C1";34818,658;4,5651
"5";"T03-C13";17235,936;2,2598
"6";"T03-C2";65784,539;8,6251
"7";"T03-C3";31523,274;4,133
"8";"T03-C4";40226,235;5,2741
"9";"T03-C5";15520,833;2,0349
"10";"T03-C6";423,813;0,0556
"11";"T03-C7";2644,119;0,3467
"12";"T07-C1";18927,992;2,4817
"13";"T07-C12";1496,831;0,1963
"14";"T07-C13";187,699;0,0246
"15";"T07-C2";48607,517;6,373
"16";"T07-C3";11459,21;1,5024
"17";"T07-C4";18798,298;2,4647
"18";"T07-C5";8129,801;1,0659
"19";"T07-C6";371,973;0,0488
"20";"T14-C1";19861,023;2,604
"21";"T18-C1";26157,777;3,4296
"22";"T27-C1";637,564;0,0836
"23";"T27-C2";16036,001;2,1025
"24";"T27-C6";2031,69;0,2664
"25";"T32-C1";11695,588;1,5334
"26";"T32-C3";1433,323;0,1879
"27";"T32-C4";590,451;0,0774
"28";"T35-C1";9544,465;1,2514
"29";"T35-C2";20908,963;2,7414
"30";"T39-C1";413,942;0,0543
"31";"T39-C3";244,288;0,032
"32";"T39-C4";5585,2;0,7323
"33";"V1-C1";1511,49;0,1982
"34";"V1-C2";79516,671;10,4255
"35";"V1-C5";5204,904;0,6824
"36";"V1-C6";21975,01;2,8812
"37";"V1-C7";568,108;0,0745
"38";"V4-C1";1524,662;0,1999
"39";"V4-C2";1037,823;0,1361
"40";"V6-C1";5024,654;0,6588
"41";"V6-C2";603,451;0,0791
"42";"V6-C3";403,078;0,0528
"43";"V6-C7";257,387;0,0337
