"";"kode_enhet";"area";"percent"
"1";"L";23083,793;2,2651
"2";"T01-C1";3535,081;0,3469
"3";"T01-C11";982,724;0,0964
"4";"T01-C2";2846,335;0,2793
"5";"T01-C9";166,365;0,0163
"6";"T03-C1";41301,449;4,0526
"7";"T03-C13";5442,194;0,534
"8";"T03-C2";228311,475;22,4027
"9";"T03-C3";43858,507;4,3036
"10";"T03-C4";29539,745;2,8985
"11";"T03-C5";6800,246;0,6673
"12";"T07-C1";4552,075;0,4467
"13";"T07-C12";7174,635;0,704
"14";"T07-C2";84224,201;8,2644
"15";"T07-C3";47826,761;4,6929
"16";"T07-C4";123377,061;12,1062
"17";"T07-C5";47385,236;4,6496
"18";"T14-C1";147502,458;14,4735
"19";"T27-C1";23580,453;2,3138
"20";"T27-C2";36681,869;3,5994
"21";"T27-C5";66803,23;6,555
"22";"T27-C6";538,628;0,0529
"23";"V1-C5";8581,572;0,8421
"24";"V1-C6";5948,541;0,5837
"25";"V1-C7";326,632;0,0321
"26";"V6-C1";20182,966;1,9804
"27";"V6-C3";7794,633;0,7648
"28";"V6-C5";332,329;0,0326
"29";"V6-C9";442,442;0,0434
