kode_hoved,navn_enhet,kode_enhet,rast_val,name_eng
L,L   ferskvannsbunnsystemer,L,0,Freshwater bottom system
T01,T01-C01   lite utt?rkings-eksponerte sv?rt og temmelig kalkfattige nakne berg,T1-1,1,Lime-poor hardly desiccation-prone rock wall
T01,"T01-C02   utt?rkings-eksponerte sv?rt og temmelig kalkfattige berg, bergvegger og knauser",T1-2,2,Lime-poor somewhat desiccation-prone rock wall
T03,T03-C01   kalkfattig leside,T3-1,3,Lime-poor alpine lee side
T03,T03-C13   intermedi?r kildep?virket fjellhei,T3-13,4,Intermediately lime-rich alpine tall-herb meadow
T03,T03-C02   kalkfattig fjell-lynghei,T3-2,5,Lime-poor alpine subxeric heath
T03,T03-C03   kalkfattig fjell-lavhei,T3-3,6,Lime-poor alpine xeric heath
T03,T03-C04   intermedi?r leside,T3-4,7,Intermediately lime-rich alpine lee side
T03,T03-C05   intermedi?r fjell-lynghei,T3-5,8,Intermediately lime-rich alpine subxeric heath
T03,T03-C06   intermedi?r fjell-lavhei,T3-6,9,Intermediately lime-rich alpine xeric heath
T03,T03-C07   svakt kalkrik leside,T3-7,10,Moderately lime-rich alpine lee-side
T07,T07-C01   sv?rt kalkfattig moderat sn?leie,T7-1,11,Extremely lime-poor moderate snowbed
T07,T07-C12   kildep?virket intermedi?rt sn?leie,T7-12,12,Intermediately lime-rich moderate tall-herb snowbed 
T07,T07-C13   kildep?virket svakt kalkrikt sn?leie,T7-13,13,Lime-rich moderate tall-herb snowbed
T07,T07-C02   svakt kalkfattig moderat sn?leie,T7-2,14,Moderately lime-poor moderate snowbed
T07,T07-C03   intermedi?rt moderat sn?leie,T7-3,15,Intermediately lime-rich moderate late snowbed
T07,T07-C04   intermedi?rt seint sn?leie,T7-4,16,Lime-poor to intermediately lime-rich late snowbed
T07,T07-C05   intermedi?rt ekstrem-sn?leie,T7-5,17,Lime-poor to intermediate lime-rich extremely late snowbed
T07,T07-C06   svakt kalkrikt moderat sn?leie,T7-6,18,Moderately lime-rich moderate snowbed
T14,T14-C01   kalkfattig og intermedi?r rabbe,T14-1,19,Lime-poor to intermediately lime-rich alpine ridge
T18,"T18-C01   ?pne flom-fastmarker p? sand, grus og stein",T18-1,20,Moderately exposed open alluvial gravel- and stone-dominated sediment
T27,T27-C01   kalkfattig og intermedi?r blokkmark,T27-1,21,Lime-poor to intermediately lime-rich boulder field
T27,T27-C02   kalkfattig og intermedi?r sn?leie-blokkmark,T27-2,22,Lime-poor to intermediately lime-rich boulder snowbed 
T27,T27-C06   kalkfattig og intermedi?r rabbepreget blokkmark,T27-6,23,Lime-poor to intermediately lime-rich wind-exposed boulder field
T32,T32-C01   kalkfattig eng med mindre hevdpreg,T32-1,24,Lime-poor low-intensity managed semi-natural grassland 
T32,T32-C03   intermedi?r eng med mindre hevdpreg,T32-3,25,Intermediately lime-rich low-intensity managed semi-natural grassland 
T32,T32-C04   intermedi?r eng med klart hevdpreg,T32-4,26,Intermediately lime-rich semi-natural grassland
T35,T35-C01   sterkt endret fastmark med jorddekke,T35-1,27,Wasteland and artificial soil deposit
T35,T35-C02   sterkt endret fastmark med grus/sand-dekke,T35-2,28,Gravel pits and artificial gravel deposit
T39,T39-C01   blokkdeponi,T39-1,29,Stone deposit in pioneer phase
T39,T39-C03   fast fjell blottlagt ved t?rrlegging eller nedtapping,T39-3,30,"Quarry, road cut and other artificial hard substrate in pioneer phase"
T39,"T39-C04   sterkt modifiserte eller syntetiske, overveiende uorganisk faste substrater",T39-4,31,"Quarry, road cut and other artificial hard substrate in consolidation phase"
V01,V01-C01   sv?rt og temmelig kalkfattige myrflater,V1-1,32,Strongly lime-poor fen expanse carpet
V01,V01-C02   litt kalkfattige og svakt intermedi?re myrflater,V1-2,33,Strongly lime-poor fen expanse lower lawn
V01,V01-C05   sv?rt og temmelig kalkfattige myrkanter,V1-5,34,Strongly lime-poor fen expanse upper hummock
V01,V01-C06   litt kalkfattige og svakt intermedi?re myrkanter,V1-6,35,Moderately lime-poor fen expanse carpet
V01,V01-C07   sterkt intermedi?re og litt kalkrike myrkanter,V1-7,36,Moderately lime-poor fen expanse lower lawn
V04,V04-C01   litt kalkfattig og svakt intermedi?r svakkilde,V4-1,37,Lime-poor astatic spring
V04,V04-C02   sterkt inter-medi?re og litt kalkrike kilder,V4-2,38,Intermediately lime-rich astatic spring
V06,V06-C01   kalkfattig og intermedi?rt moderat v?tsn?leie,V6-1,39,Lime-poor to intermediately lime-rich moderate wet snowbed
V06,V06-C02   kalkrikt moderat v?tsn?leie,V6-2,40,Lime-rich moderate wet snowbed
V06,V06-C03   kalkfattig og intermedi?rt seint v?tsn?leie,V6-3,41,Lime-poor to intermediately lime-rich late wet snowbed
V06,V06-C07   kalkfattig og intermedi?rt seint kildesn?leie,V6-7,42,Lime-poor to intermediately lime-rich late spring snowbed
